utc,filter,pm,lat,lon,device
1405626505,10,0.006,37.802480,-122.295867,A
1405626506,10,0.007,37.802478,-122.295882,A
1405626507,10,0.007,37.802460,-122.295885,A
1405626508,10,0.007,37.802448,-122.295892,A
1405626509,10,0.006,37.802438,-122.295897,A
1405626510,10,0.007,37.802432,-122.295902,A
1405626511,10,0.007,37.802417,-122.295913,A
1405626512,10,0.007,37.802422,-122.295923,A
1405626513,10,0.006,37.802418,-122.295940,A
1405626514,10,0.007,37.802425,-122.295958,A
1405626515,10,0.006,37.802417,-122.295975,A
1405626516,10,0.006,37.802412,-122.295990,A
1405626517,10,0.006,37.802418,-122.295998,A
1405626518,10,0.006,37.802415,-122.296008,A
1405626519,10,0.006,37.802437,-122.296022,A
1405626520,10,0.006,37.802438,-122.296033,A
1405626521,10,0.006,37.802430,-122.296047,A
1405626522,10,0.007,37.802437,-122.296067,A
1405626523,10,0.007,37.802445,-122.296088,A
1405626524,10,0.007,37.802442,-122.296097,A
1405626525,10,0.007,37.802433,-122.296110,A
1405626526,10,0.007,37.802428,-122.296127,A
1405626527,10,0.006,37.802422,-122.296138,A
1405626528,10,0.006,37.802417,-122.296148,A
1405626529,10,0.007,37.802403,-122.296152,A
1405626530,10,0.009,37.802415,-122.296150,A
1405626531,10,0.007,37.802438,-122.296175,A
1405626532,10,0.006,37.802445,-122.296187,A
1405626533,10,0.007,37.802447,-122.296200,A
1405626534,10,0.007,37.802460,-122.296205,A
1405626535,10,0.006,37.802465,-122.296215,A
1405626536,10,0.006,37.802468,-122.296237,A
1405626537,10,0.006,37.802462,-122.296257,A
1405626538,10,0.006,37.802463,-122.296268,A
1405626539,10,0.007,37.802478,-122.296287,A
1405626540,10,0.006,37.802478,-122.296293,A
1405626541,10,0.007,37.802473,-122.296307,A
1405626542,10,0.007,37.802470,-122.296323,A
1405626543,10,0.006,37.802465,-122.296340,A
1405626544,10,0.006,37.802483,-122.296358,A
1405626545,10,0.006,37.802475,-122.296365,A
1405626546,10,0.006,37.802475,-122.296383,A
1405626547,10,0.006,37.802467,-122.296387,A
1405626548,10,0.007,37.802480,-122.296407,A
1405626549,10,0.007,37.802480,-122.296415,A
1405626550,10,0.006,37.802473,-122.296417,A
1405626551,10,0.007,37.802447,-122.296425,A
1405626552,10,0.007,37.802433,-122.296450,A
1405626553,10,0.007,37.802433,-122.296450,A
1405626554,10,0.007,37.802412,-122.296453,A
1405626555,10,0.007,37.802402,-122.296452,A
1405626556,10,0.006,37.802392,-122.296453,A
1405626557,10,0.007,37.802390,-122.296468,A
1405626558,10,0.007,37.802387,-122.296480,A
1405626559,10,0.006,37.802385,-122.296498,A
1405626560,10,0.007,37.802398,-122.296520,A
1405626561,10,0.007,37.802395,-122.296528,A
1405626562,10,0.008,37.802387,-122.296538,A
1405626563,10,0.008,37.802377,-122.296542,A
1405626564,10,0.008,37.802373,-122.296547,A
1405626565,10,0.007,37.802358,-122.296537,A
1405626566,10,0.007,37.802372,-122.296533,A
1405626567,10,0.007,37.802395,-122.296537,A
1405626568,10,0.007,37.802417,-122.296538,A
1405626569,10,0.007,37.802428,-122.296538,A
1405626570,10,0.007,37.802448,-122.296538,A
1405626571,10,0.007,37.802448,-122.296540,A
1405626572,10,0.008,37.802450,-122.296547,A
1405626573,10,0.007,37.802458,-122.296550,A
1405626574,10,0.008,37.802467,-122.296550,A
1405626575,10,0.009,37.802453,-122.296552,A
1405626576,10,0.009,37.802433,-122.296550,A
1405626577,10,0.008,37.802423,-122.296545,A
1405626578,10,0.008,37.802407,-122.296548,A
1405626579,10,0.008,37.802412,-122.296562,A
1405626580,10,0.008,37.802422,-122.296572,A
1405626581,10,0.008,37.802425,-122.296583,A
1405626582,10,0.008,37.802423,-122.296590,A
1405626583,10,0.007,37.802428,-122.296600,A
1405626584,10,0.007,37.802433,-122.296612,A
1405626585,10,0.007,37.802422,-122.296628,A
1405626586,10,0.007,37.802420,-122.296640,A
1405626587,10,0.008,37.802420,-122.296652,A
1405626588,10,0.008,37.802405,-122.296663,A
1405626589,10,0.009,37.802405,-122.296680,A
1405626590,10,0.008,37.802403,-122.296695,A
1405626591,10,0.007,37.802395,-122.296702,A
1405626592,10,0.008,37.802390,-122.296712,A
1405626593,10,0.008,37.802383,-122.296723,A
1405626594,10,0.008,37.802382,-122.296730,A
1405626595,10,0.008,37.802392,-122.296742,A
1405626596,10,0.007,37.802403,-122.296750,A
1405626597,10,0.008,37.802405,-122.296760,A
1405626598,10,0.008,37.802415,-122.296770,A
1405626599,10,0.008,37.802425,-122.296780,A
1405626600,10,0.009,37.802430,-122.296790,A
1405626601,10,0.009,37.802455,-122.296798,A
1405626602,10,0.008,37.802467,-122.296808,A
1405626603,10,0.008,37.802472,-122.296817,A
1405626604,10,0.007,37.802457,-122.296823,A
1405626605,10,0.007,37.802452,-122.296835,A
1405626606,10,0.007,37.802450,-122.296848,A
1405626607,10,0.008,37.802433,-122.296855,A
1405626608,10,0.008,37.802433,-122.296865,A
1405626609,10,0.008,37.802425,-122.296873,A
1405626610,10,0.007,37.802418,-122.296885,A
1405626611,10,0.007,37.802403,-122.296900,A
1405626612,10,0.007,37.802400,-122.296913,A
1405626613,10,0.007,37.802398,-122.296923,A
1405626614,10,0.007,37.802400,-122.296932,A
1405626615,10,0.007,37.802397,-122.296940,A
1405626616,10,0.007,37.802378,-122.296948,A
1405626617,10,0.007,37.802390,-122.296960,A
1405626618,10,0.007,37.802402,-122.296968,A
1405626619,10,0.007,37.802392,-122.296972,A
1405626620,10,0.006,37.802412,-122.296980,A
1405626621,10,0.007,37.802408,-122.296993,A
1405626622,10,0.007,37.802397,-122.297002,A
1405626623,10,0.007,37.802408,-122.297010,A
1405626624,10,0.007,37.802407,-122.297013,A
1405626625,10,0.008,37.802425,-122.297022,A
1405626626,10,0.009,37.802427,-122.297025,A
1405626627,10,0.007,37.802440,-122.297032,A
1405626628,10,0.007,37.802450,-122.297037,A
1405626629,10,0.007,37.802458,-122.297048,A
1405626630,10,0.007,37.802475,-122.297060,A
1405626631,10,0.008,37.802482,-122.297065,A
1405626632,10,0.008,37.802498,-122.297070,A
1405626633,10,0.008,37.802495,-122.297067,A
1405626634,10,0.007,37.802482,-122.297065,A
1405626635,10,0.007,37.802478,-122.297062,A
1405626636,10,0.006,37.802495,-122.297057,A
1405626637,10,0.008,37.802498,-122.297040,A
1405626638,10,0.009,37.802525,-122.297040,A
1405626639,10,0.007,37.802555,-122.297047,A
1405626640,10,0.007,37.802583,-122.297055,A
1405626641,10,0.007,37.802597,-122.297063,A
1405626642,10,0.007,37.802628,-122.297068,A
1405626643,10,0.009,37.802643,-122.297077,A
1405626644,10,0.009,37.802657,-122.297077,A
1405626645,10,0.007,37.802670,-122.297077,A
1405626646,10,0.007,37.802678,-122.297075,A
1405626647,10,0.007,37.802692,-122.297068,A
1405626648,10,0.007,37.802703,-122.297057,A
1405626649,10,0.007,37.802713,-122.297043,A
1405626650,10,0.009,37.802733,-122.297037,A
1405626651,10,0.008,37.802748,-122.297035,A
